Population,NestID,Fband,Year,Attempt,JulianFED,Clutch,MinHatch,Banded,Exp,Exclude,Nage,Mass
KY,16,149125703,1993,1,98,5,4,4,no,,11,25.4
KY,16,149125703,1993,1,98,5,4,4,no,,11,23.7
KY,16,149125703,1993,1,98,5,4,4,no,,11,22.7
KY,16,149125703,1993,1,98,5,4,4,no,,11,
KY,17,149125703,1993,2,132,5,4,4,no,,10,29
KY,17,149125703,1993,2,132,5,4,4,no,,10,25.5
KY,17,149125703,1993,2,132,5,4,4,no,,10,24.5
KY,17,149125703,1993,2,132,5,4,4,no,,10,15.5
KY,18,149125703,1993,3,168,6,4,3,no,,9,26.5
KY,18,149125703,1993,3,168,6,4,3,no,,9,26.5
KY,18,149125703,1993,3,168,6,4,3,no,,9,21
KY,18,149125703,1993,3,168,6,4,3,no,,9,16.5
KY,19,149125703,1993,4,206,3,2,2,no,,6,23
KY,19,149125703,1993,4,206,3,2,2,no,,6,18
KY,12,149125704,1993,1,102,6,6,3,no,,7,23.5
KY,12,149125704,1993,1,102,6,6,3,no,,7,22.7
KY,12,149125704,1993,1,102,6,6,3,no,,7,22
KY,13,149125704,1993,2,140,5,4,4,no,,9,26.5
KY,13,149125704,1993,2,140,5,4,4,no,,9,24.5
KY,13,149125704,1993,2,140,5,4,4,no,,9,23
KY,13,149125704,1993,2,140,5,4,4,no,,9,22.5
KY,14,149125704,1993,3,181,5,4,2,no,,8,24.5
KY,14,149125704,1993,3,181,5,4,2,no,,8,20
KY,77,149125764,1993,1,99,5,5,5,no,,11,28.3
KY,77,149125764,1993,1,99,5,5,5,no,,11,27
KY,77,149125764,1993,1,99,5,5,5,no,,11,26.1
KY,77,149125764,1993,1,99,5,5,5,no,,11,24.9
KY,77,149125764,1993,1,99,5,5,5,no,,11,22.4
KY,92,151101032,1993,1,101,5,4,4,no,,10,27.4
KY,92,151101032,1993,1,101,5,4,4,no,,10,26.5
KY,92,151101032,1993,1,101,5,4,4,no,,10,25.7
KY,92,151101032,1993,1,101,5,4,4,no,,10,24.2
KY,93,151101032,1993,2,152,4,3,3,no,,8,24
KY,93,151101032,1993,2,152,4,3,3,no,,8,22.5
KY,94,151101032,1993,3,193,4,2,1,no,,9,28.5
KY,69,151101049,1993,1,115,5,4,3,no,,9,23.5
KY,69,151101049,1993,1,115,5,4,3,no,,9,23.5
KY,69,151101049,1993,1,115,5,4,3,no,,9,20.5
KY,48,151101053,1993,1,103,5,5,5,no,,8,23.4
KY,48,151101053,1993,1,103,5,5,5,no,,8,23
KY,48,151101053,1993,1,103,5,5,5,no,,8,23
KY,48,151101053,1993,1,103,5,5,5,no,,8,20.7
KY,48,151101053,1993,1,103,5,5,5,no,,8,19.5
KY,49,151101053,1993,2,140,4,2,2,yes,,7,27.5
KY,49,151101053,1993,2,140,4,2,2,yes,,7,23
KY,50,151101053,1993,3,184,3,3,3,no,,,23
KY,50,151101053,1993,3,184,3,3,3,no,,,18.5
KY,50,151101053,1993,3,184,3,3,3,no,,8,15.5
KY,79,151101054,1993,2,130,4,2,2,no,,9,26.5
KY,79,151101054,1993,2,130,4,2,2,no,,9,25.5
KY,60,151101062,1993,4,195,3,3,2,no,,8,24
KY,60,151101062,1993,4,195,3,3,2,no,,8,23.5
KY,63,151101065,1993,1,100,4,4,4,no,,11,27.2
KY,63,151101065,1993,1,100,4,4,4,no,,11,26.5
KY,63,151101065,1993,1,100,4,4,4,no,,11,25
KY,63,151101065,1993,1,100,4,4,4,no,,11,24.4
KY,64,151101065,1993,2,137,4,2,2,no,,7,22.5
KY,64,151101065,1993,2,137,4,2,2,no,,7,21.5
KY,65,151101065,1993,3,182,4,4,3,no,,7,19
KY,65,151101065,1993,3,182,4,4,3,no,,7,15.5
KY,65,151101065,1993,3,182,4,4,3,no,,7,13.5
KY,95,151101128,1993,1,149,6,5,5,no,,7,22.5
KY,95,151101128,1993,1,149,6,5,5,no,,7,20.5
KY,95,151101128,1993,1,149,6,5,5,no,,7,20
KY,95,151101128,1993,1,149,6,5,5,no,,7,18
KY,95,151101128,1993,1,149,6,5,5,no,,7,15.5
KY,96,151101128,1993,2,185,5,5,3,no,,8,22.5
KY,96,151101128,1993,2,185,5,5,3,no,,8,22
KY,96,151101128,1993,2,185,5,5,3,no,,8,17.5
